,Energy,Cost,Emissions,Avg Ems Rate,Steam Turbine,Combined Cycle,Gas Turbine,Internal Combustion,Other Fossil,Other Peaker,Hydro,Wind,DR,Solar
Actual,1708226.6,41486181.125,1463266.1889166478,0.8565995679388546,0.7120042400241714,0.11875912535503799,0.06966868350371296,0.0,0.004404743422212817,0.00013844767202546258,0.014990926635960829,0.08003387716255754,0.0,0.0
Baseline,1708226.6,39214084.92198419,1437884.7025560236,0.8417411844028737,0.6565639362435631,0.16235644388765394,0.09045210930215535,0.0,0.004003567149645616,0.0,0.013392836556580915,0.07372575656356038,0.0,0.0
1.5 GW Solar,1708226.703125,38910579.79494489,1432804.1775596223,0.8387669944150127,0.6545354887376938,0.16197247103627904,0.08946769165303874,0.0,0.004003566966544226,0.0,0.013023037245185791,0.07372475800778855,0.0,0.003749502327930365
15 GW Solar,1708226.703125,36462420.00596028,1383407.947737043,0.8098503232657942,0.6343956579184721,0.15563063129804364,0.08284076371959041,0.0,0.0039918589186818355,0.0,0.0121133804703085,0.07371966500708006,0.0,0.03749736488887613
Carbon Price 5,1708226.6,46668095.30449368,1418417.2413184093,0.8303448854852086,0.633225055790536,0.17072090783833968,0.10137080377827017,0.0,0.004062107391634878,0.0,0.016854321045796268,0.0737930778429646,0.0,0.0
Carbon Price 10,1708226.6,54029006.34896241,1397799.6186630956,0.818275279290355,0.6069219284849413,0.17828178989795787,0.11672245447517696,0.0,0.004062107391634878,6.146725408872491e-05,0.020192110030444035,0.07382457249326647,0.0,0.0
Carbon Price 25,1708226.6,76151980.21419026,1353384.4963647358,0.7922745592170686,0.5520720044382,0.1913531234619752,0.14982884042275818,0.0,0.004312542546418313,0.000257577064752752,0.02843498589137205,0.07386397007484119,0.0,0.0
Carbon Price 50,1708226.6,114076394.492386,1310747.8882412666,0.7673149856455765,0.48717441580128457,0.20374176066317254,0.20174448138733436,0.0,0.004508066954662447,0.00037934076809041656,0.028617631446378546,0.07388059550473854,0.0,0.0
Baseline Error,0.0,-0.05476754286372778,-0.017345775193108086,-0.0173457751931081,-0.07786513150360756,0.3671071035786006,0.2983180498499695,,-0.09107823864248184,-1.0,-0.1066038223111807,-0.07881813080459261,,
