,Demand,MCE,Total Ems,Avg Ems,Marginal Ems,Steam Turbine,Combined Cycle,Gas Turbine,Internal Combustion,Other Fossil,Other Peaker,Hydro,Wind,DR,Solar
00,57845.0,23.627307155942383,48228.544326429816,0.8337547640492664,52,37003.000010967255,10234.000015258789,5113.100015640259,0.0,292.0,0.0,758.8999997228384,4420.300024755299,0.0,0.0
01,55164.902,23.20101571482422,46099.84655577924,0.8356734916073353,4,36279.50231356174,9071.300003051758,4201.10000038147,0.0,294.0,0.0,758.8999997228384,4568.1000270321965,0.0,0.0
02,53669.7,22.601015333354493,44644.06124706823,0.8318299132831999,4,35148.29918957502,8908.300003051758,3910.2000064849854,0.0,294.0,0.0,758.8999997228384,4675.000019915402,0.0,0.0
03,52526.1,22.167308071469726,43783.01536649939,0.8335477803240863,52,34863.30001401901,8189.300003051758,3741.9000034332275,0.0,294.0,0.0,758.8999997228384,4653.900016613305,0.0,0.0
04,52110.5,22.031015638530274,43499.77136226888,0.8347601992356413,4,34756.59997984022,8193.800003051758,3492.4000034332275,0.0,294.0,0.0,758.8999997228384,4614.900013953447,0.0,0.0
05,51816.797,21.80067068758789,43351.41411235725,0.8366285978065341,27,34680.10000181198,8137.800003051758,3436.596860282123,0.0,300.0,0.0,758.8999997228384,4503.50001013279,0.0,0.0
06,53697.195,22.271015409648438,45268.44201923877,0.8430317776522841,4,36162.19529911131,8374.300003051758,3809.9000034332275,0.0,299.0,0.0,769.8999997228384,4282.00000718236,0.0,0.0
07,58714.5,23.341015104472657,49820.22898426419,0.8485166182844815,4,39251.99996609241,9547.500015258789,4754.10000038147,0.0,292.0,0.0,821.7999993413687,4048.100018925965,0.0,0.0
08,63952.195,25.027306774472656,54299.69428038354,0.8490669321834868,52,41824.60002088547,11404.100021362305,5657.699991226196,0.0,287.0,0.0,821.7999993413687,3916.5000260025263,0.0,0.0
09,69590.6,26.081016782939454,58395.632532726,0.8391310208790236,4,44295.8015313223,13349.500015258789,6126.299989700317,0.0,284.0,0.0,1578.7999993413687,3967.2000268772244,0.0,0.0
10,74536.7,27.290670458706053,62576.168796517784,0.8395349696588527,27,47255.60002660751,13720.500015258789,7525.7030652835965,0.0,281.0,0.0,1578.7999993413687,4175.200018510222,0.0,0.0
11,78192.5,28.671016935527344,65409.55161064405,0.8365195077615378,4,48956.20000952482,14064.500015258789,8866.599966049194,0.0,279.0,0.0,1578.7999993413687,4447.500009827316,0.0,0.0
12,81370.3,29.63101602,68010.21393254843,0.8358113039334838,4,50874.996820770204,14222.500015258789,9685.300012588501,0.0,281.0,0.0,1578.7999993413687,4727.800027042627,0.0,0.0
13,83719.195,29.95101571482422,69956.27783908373,0.8356061901688949,4,52533.69531355798,14355.899978637695,9927.300012588501,0.0,281.0,0.0,1659.5000115484,5025.499996930361,0.0,0.0
14,86598.2,30.531015638530274,72230.43559749243,0.8340870017040833,4,54402.103082709014,14345.699996948242,10495.100026607513,0.0,279.0,0.0,1689.5000115484,5387.00000718981,0.0,0.0
15,87701.805,30.91101670664551,73090.59066130151,0.8333989354237199,4,55035.904642909765,14331.000015258789,10835.299997329712,0.0,281.0,0.0,1689.5000115484,5540.100020453334,0.0,0.0
16,88396.91,31.110670153530272,73549.62064880581,0.8320384023485642,27,55394.00004339218,14326.600021362305,10981.606190755963,0.0,282.0,0.0,1638.5999871343374,5774.200007356703,0.0,0.0
17,88287.59,30.991016630351563,73329.2174952436,0.8305721606014843,4,55255.293761350214,14336.000015258789,10848.700001716614,0.0,284.0,0.0,1638.5999871343374,5930.999984540045,0.0,0.0
18,86769.0,30.330671374233397,71787.22212918401,0.8273372071728844,27,54016.100045681,14434.500015258789,10323.49993429333,0.0,287.0,0.0,1551.5999871343374,6156.400017634034,0.0,0.0
19,84755.305,29.941015485942383,69677.04641094287,0.8220965834274097,4,52181.00471199304,14447.900009155273,9952.899984359741,0.0,291.0,0.0,1468.5999871343374,6420.599994666874,0.0,0.0
20,82511.5,29.421016935527344,67341.02907224766,0.8161411327178353,4,50431.00002685189,14314.499984741211,9247.099990844727,0.0,294.0,0.0,1402.5999871343374,6822.400010429323,0.0,0.0
21,78127.0,28.30067068758789,63176.2641942792,0.80863548061847,27,47145.900037288666,13887.500015258789,8450.799932561815,0.0,296.0,0.0,1209.699993237853,7137.200021654367,0.0,0.0
22,71316.5,26.081016782939454,57481.645034003755,0.8060076564890839,4,43368.69995435327,13412.500015258789,6109.7000188827515,0.0,296.0,0.0,785.7999993413687,7343.900012165308,0.0,0.0
23,66856.7,25.141016248881837,53411.307109099165,0.7988923266114039,4,40576.00311432779,12020.500015258789,5671.4000034332275,0.0,297.0,0.0,774.8999997228384,7516.999992258847,0.0,0.0
