,Demand,MCE,Total Ems,Avg Ems,Marginal Ems,Steam Turbine,Combined Cycle,Gas Turbine,Internal Combustion,Other Fossil,Other Peaker,Hydro,Wind,DR,Solar
00,71885.195,67.85016111552734,55592.977944013204,0.7733578200954854,4,34082.695288702846,14578.500015258789,16701.899993896484,0.0,340.0,54.0,1292.8999990075827,4835.300015635788,0.0,0.0
01,68012.8,64.89016012370605,52070.80922312604,0.7656031161139635,4,31819.496869929135,14541.900009155273,14937.599981307983,0.0,340.0,0.0,1292.8999990075827,5085.500015504658,0.0,0.0
02,65405.4,62.63015989482422,49884.09128633687,0.7626907331511028,4,30504.398390181363,14553.500015258789,13621.900017738342,0.0,340.0,0.0,1292.8999990075827,5097.300015218556,0.0,0.0
03,64787.805,62.47016004741211,49421.55411575788,0.762821866771682,4,30198.004700168967,14559.899978637695,13382.99999332428,0.0,342.0,0.0,1292.8999990075827,5012.100016362965,0.0,0.0
04,66361.3,64.27016023814697,50996.07071511649,0.76846103250776,4,31225.096868619323,14565.800003051758,14187.499988555908,0.0,342.0,0.0,1292.8999990075827,4748.100015766919,0.0,0.0
05,70544.0,65.6167036715332,53915.750427383166,0.7642854165823197,27,32872.09997463226,14571.399978637695,16093.20003772527,0.0,346.0,0.0,2127.8999990075827,4542.400009997189,0.0,0.0
06,75102.195,67.6901593607666,57502.00663218681,0.7656501436864946,4,34660.29529161006,14607.000015258789,18720.699971199036,0.0,342.0,54.0,2594.600011214614,4138.600023217499,0.0,0.0
07,80515.0,69.78015951335449,63281.54836506802,0.7859597387451781,4,39802.30000502616,14594.399978637695,19520.799989700317,0.0,337.0,54.0,2625.500010833144,3593.0000158026814,0.0,0.0
08,86583.805,71.88015989482422,69587.10988228628,0.8036966050803782,4,45352.50468198955,14556.70002746582,20332.39998149872,0.0,332.0,202.0,2603.500010833144,3204.7999857142568,0.0,0.0
09,92192.2,74.19670550258789,75251.93589882895,0.8162505434087265,27,50116.5,14620.099990844727,21477.803133681417,0.0,329.0,202.0,2639.500010833144,2809.2999896407127,0.0,0.0
10,97735.5,75.83016065776367,80445.3209554234,0.8230921308575022,4,54315.10004778206,14748.899978637695,22677.99995994568,13.0,325.0,215.0,2639.500010833144,2801.1000028029084,0.0,0.0
11,101230.51,76.43670718105469,83673.80538203142,0.8265670813092507,27,57071.59999084473,14986.099990844727,23048.10782368481,16.0,328.0,213.0,2669.500010833144,2898.299996294081,0.0,0.0
12,104296.695,77.45015958964844,86523.90092925991,0.8295938876108377,4,59838.395295627415,15047.500015258789,23029.30000591278,3.0,321.0,221.0,2811.500010833144,3027.999984867871,0.0,0.0
13,105889.0,78.3101602,88114.12276487224,0.8321366975311151,4,61489.39994376153,14927.70002746582,22980.00001144409,8.0,321.0,220.0,2816.500010833144,3126.5000064969063,0.0,0.0
14,107012.91,78.50016073405762,88708.36019343966,0.8289501080010119,4,62074.606205269694,14921.20002746582,22976.900017261505,8.0,321.0,220.0,3176.9000047296286,3339.2999952733517,0.0,0.0
15,107321.4,78.57016042888183,88924.29587965591,0.8285793623108827,4,62307.79836960882,14930.20002746582,22944.700026512146,5.0,321.0,215.0,3176.9000047296286,3420.9000091850758,0.0,0.0
16,107325.9,78.57016042888183,88997.91796846723,0.8292305889271837,4,62385.29840827733,14922.20002746582,22945.400016784668,5.0,322.0,213.0,3115.6999772638083,3421.9000076130033,0.0,0.0
17,106502.4,78.57016042888183,88609.60113456986,0.8319962971216055,4,62531.99848964065,14935.399978637695,22082.89999961853,0.0,349.0,213.0,3028.6999772638083,3361.5999923422933,0.0,0.0
18,103449.695,77.0901608866455,85497.62471073579,0.8264656986418883,4,59413.69532305747,15036.500015258789,22107.800006866455,0.0,354.0,216.0,3028.6999772638083,3294.999990053475,0.0,0.0
19,99761.7,76.12015966594238,81951.73239709716,0.8214748729220551,4,56248.2031371668,14921.500015258789,21758.10000896454,0.0,359.0,217.0,2952.899981841445,3305.0999817699194,0.0,0.0
20,96984.195,75.50016073405762,79153.40998273806,0.8161475148367417,4,53646.29537974298,14946.300003051758,21534.399953842163,0.0,357.0,217.0,2922.899981841445,3360.3999940231442,0.0,0.0
21,92075.9,74.19670550258789,74710.61968517558,0.8114025597685397,27,50540.5,14918.300003051758,19624.698464021087,0.0,359.0,202.0,2892.899981841445,3538.5999885872006,0.0,0.0
22,86017.0,72.27015928447265,70206.89989269545,0.8161979596207197,4,46797.40003602207,14938.899978637695,18569.599999427795,0.0,360.0,203.0,1362.799998626113,3785.3999872878194,0.0,0.0
23,80221.5,70.58016065776367,64519.076153728216,0.8042616524713228,4,41715.0000390932,14850.500015258789,17925.499961853027,0.0,360.0,203.0,1341.799998626113,3825.7999851703644,0.0,0.0
