,Demand,MCE,Total Ems,Avg Ems,Marginal Ems,Steam Turbine,Combined Cycle,Gas Turbine,Internal Combustion,Other Fossil,Other Peaker,Hydro,Wind,DR,Solar
00,71885.195,27.151016477763672,59769.411423783116,0.8314564795150513,4,44329.69525832683,13678.500015258789,7859.4000244140625,0.0,299.0,0.0,892.8999990075827,4829.000015445054,0.0,0.0
01,68012.8,26.027306774472656,56117.50192857833,0.8251021058833398,52,41696.79998981953,13214.500015258789,6789.799995422363,0.0,299.0,0.0,892.8999990075827,5077.500015504658,0.0,0.0
02,65405.4,25.211015943706055,54099.92110030672,0.827147642132376,4,40942.59840286523,11779.500015258789,6405.300004959106,0.0,299.0,0.0,892.8999990075827,5092.300015218556,0.0,0.0
03,64787.805,25.141016248881837,53572.44983605158,0.8268909572481272,4,40476.50466488302,11704.500015258789,6404.599992752075,0.0,301.0,0.0,892.8999990075827,5008.400015600026,0.0,0.0
04,66361.3,25.211015943706055,55425.25381835636,0.8352045006407413,4,42223.69684801996,11788.000015258789,6411.499996185303,0.0,301.0,0.0,892.8999990075827,4744.300016529858,0.0,0.0
05,70544.0,25.97101617258789,59246.91356241487,0.8398575862215761,4,44757.799974404275,13238.000015258789,6811.800001144409,0.0,305.0,0.0,892.8999990075827,4538.700010187924,0.0,0.0
06,75102.195,27.13101602,63567.27114224726,0.8464102930379603,4,47697.495274826884,13705.000015258789,8362.699999809265,0.0,301.0,0.0,903.8999990075827,4132.200023598969,0.0,0.0
07,80515.0,29.421016935527344,68739.60492210864,0.8537490520040818,4,51208.79996211082,14238.400009155273,10259.10001373291,0.0,296.0,0.0,934.7999986261129,3588.8000159934163,0.0,0.0
08,86583.805,30.41101670664551,74916.09462249113,0.86524373574111,4,56466.60470716655,14406.699996948242,11305.399998664856,0.0,291.0,0.0,912.7999986261129,3201.3999860957265,0.0,0.0
09,92192.2,31.571016554057618,79662.5483339567,0.8640920341815153,4,59924.20312167704,14277.099990844727,13075.100011825562,0.0,288.0,190.0,1632.5000108331442,2806.0999898314476,0.0,0.0
10,97735.5,33.321016554057614,84913.94116920058,0.86881369788051,4,64275.900026515126,14343.900009155273,14188.699951171875,13.0,284.0,200.0,1632.5000108331442,2797.6000023260713,0.0,0.0
11,101230.51,34.260669772060545,87376.89298662904,0.8631478284043508,27,65684.89998626709,14504.099990844727,15602.907828643918,16.0,283.0,198.0,2062.500010833144,2879.1999959126115,0.0,0.0
12,104296.695,35.05067068758789,89855.34626171108,0.8615358903988387,27,67496.59996795654,14566.500015258789,16511.295333214104,3.0,299.79999923706055,206.0,2204.500010833144,3009.79998601228,0.0,0.0
13,105889.0,36.260669772060545,91095.99957864553,0.8602970995915111,27,68226.59997558594,14548.699996948242,17270.10001166165,8.0,317.0,205.0,2209.500010833144,3107.20000487566,0.0,0.0
14,107012.91,36.951015714824216,91629.89385505737,0.8562508679186289,4,68267.3062351197,14542.199996948242,18043.200018405914,8.0,317.0,205.0,2341.9000047296286,3291.399994701147,0.0,0.0
15,107321.4,36.951015714824216,91886.61947581923,0.8561817197092394,4,68523.99839936197,14550.199996948242,18038.000027656555,5.0,317.0,200.0,2341.9000047296286,3373.9000091850758,0.0,0.0
16,107325.9,36.951015714824216,91929.07830855738,0.8565414279955105,4,68571.79843626916,14543.199996948242,18036.600019454956,5.0,318.0,198.0,2280.6999772638083,3372.7000075653195,0.0,0.0
17,106502.4,37.021015409648435,91556.56716572196,0.8596667165148505,4,68753.29845444858,14556.400009155273,17143.100004196167,0.0,345.0,198.0,2193.6999772638083,3312.9999924376607,0.0,0.0
18,103449.695,34.85101533335449,89101.1453599217,0.8612992536204741,4,67388.49531776458,14535.500015258789,15536.100011825562,0.0,323.1000003814697,201.0,2193.6999772638083,3275.0999899581075,0.0,0.0
19,99761.7,33.760669772060545,86187.08686958195,0.8639295859012226,27,65185.09998321533,14537.500015258789,14528.203162916005,0.0,308.1000003814697,202.0,1717.899981841445,3282.9999813884497,0.0,0.0
20,96984.195,32.80101609629394,83683.46297115428,0.8628567025948048,4,63346.395372875035,14562.300003051758,13540.499959945679,0.0,310.1000003814697,202.0,1687.899981841445,3337.999994404614,0.0,0.0
21,92075.9,31.241016630351563,79137.28275577445,0.8594788006276352,4,59970.79843980819,14651.300003051758,11790.100024223328,0.0,305.80000019073486,183.0,1657.899981841445,3517.799988396466,0.0,0.0
22,86017.0,29.941015485942383,73962.41334230115,0.8598580901717237,4,55894.59999959171,14590.900009155273,10348.700005531311,0.0,306.80000019073486,149.0,962.7999986261129,3764.2999869063497,0.0,0.0
23,80221.5,28.95101571482422,68545.42568424494,0.8544520569204632,4,51504.60002459586,14437.500015258789,9086.999975204468,0.0,306.80000019073486,149.0,941.7999986261129,3805.699985742569,0.0,0.0
