,Demand,MCE,Total Ems,Avg Ems,Marginal Ems,Steam Turbine,Combined Cycle,Gas Turbine,Internal Combustion,Other Fossil,Other Peaker,Hydro,Wind,DR,Solar
00,71885.195,22.770000457763672,60324.19662108157,0.8391741353534571,52,45781.79999285936,13306.500015258789,6783.8999881744385,0.0,299.0,0.0,892.8999990075827,4829.000015445054,0.0,0.0
01,68012.8,21.959999084472656,56768.46270584113,0.8346732573014941,52,43294.60000813007,12137.500015258789,6398.600015640259,0.0,299.0,0.0,892.8999990075827,5077.500015504658,0.0,0.0
02,65405.4,20.93000030517578,54873.36827922383,0.8389730754665404,27,42937.299993395805,10639.500015258789,5599.898414619267,0.0,299.0,0.0,892.8999990075827,5088.800015218556,0.0,0.0
03,64787.805,20.649999618530273,54641.83730872741,0.8433969567619857,4,42893.004667170346,10398.500015258789,5557.499990463257,0.0,301.0,0.0,892.8999990075827,4984.900015600026,0.0,0.0
04,66361.3,20.950000762939453,56287.88773432961,0.8482035521450862,4,44293.396851070225,10646.000015258789,5627.199993133545,0.0,301.0,0.0,892.8999990075827,4720.800016529858,0.0,0.0
05,70544.0,21.90999984741211,59928.415247378194,0.8495182474395866,52,46588.799998283386,11792.000015258789,6366.699993133545,0.0,305.0,0.0,892.8999990075827,4535.700010187924,0.0,0.0
06,75102.195,22.780000686645508,64292.4985247583,0.8560668334292681,4,49575.895268149674,13383.000015258789,6822.9000062942505,0.0,301.0,0.0,903.8999990075827,4130.500023789704,0.0,0.0
07,80515.0,24.799999237060547,69377.73590955263,0.861674668192916,4,52638.39996344596,13826.000015258789,9394.300006866455,0.0,296.0,0.0,934.7999986261129,3587.5000158026814,0.0,0.0
08,86583.805,26.0,75705.57049060191,0.8743617904507658,4,58197.60470134765,13946.699996948242,10243.800004005432,0.0,291.0,0.0,912.7999986261129,3197.8999865725636,0.0,0.0
09,92192.2,27.260000228881836,81019.22635792717,0.8788077908071704,4,61884.70313425362,14257.099990844727,12084.000011444092,0.0,288.0,183.0,948.7999986261129,2802.5999898314476,0.0,0.0
10,97735.5,29.219999313354492,85965.275429979,0.8795706312443176,4,65744.10003719479,14343.900009155273,13479.599952697754,13.0,284.0,200.0,948.7999986261129,2793.1000023260713,0.0,0.0
11,101230.51,30.459999084472656,88842.08846325567,0.8776216812802099,27,67657.19995880127,14504.099990844727,14732.70786831528,16.0,283.0,198.0,978.7999986261129,2875.6999959126115,0.0,0.0
12,104296.695,31.459999084472656,90649.35330969143,0.86914885498608,27,68411.59997558594,14566.500015258789,16304.895325191319,3.0,276.0,206.0,1804.5000108331442,3004.1999856308103,0.0,0.0
13,105889.0,32.65999984741211,91729.03629804654,0.8662754044144958,27,69029.79996871948,14548.699996948242,16980.300016716123,8.0,307.20000076293945,205.0,1809.5000108331442,3103.500006020069,0.0,0.0
14,107012.91,33.290000915527344,92324.00686120139,0.8627371229925959,27,69215.69994354248,14542.199996948242,17608.506310269237,8.0,317.0,205.0,1941.9000047296286,3288.599994510412,0.0,0.0
15,107321.4,34.0,92959.96917623095,0.8661829842849783,42,69300.49994659424,14571.199996948242,18446.90002155304,5.0,317.0,200.0,2141.9000047296286,3371.0000090897083,0.0,0.0
16,107325.9,33.33000183105469,92543.4490837846,0.8622657758385894,27,69301.69994354248,14543.199996948242,17826.898512132466,5.0,318.0,198.0,1880.6999772638083,3372.4000076130033,0.0,0.0
17,106502.4,33.599998474121094,92084.6154815384,0.864624805004532,4,69308.0984576419,14556.400009155273,17078.80000114441,0.0,345.0,198.0,1793.6999772638083,3312.3999922946095,0.0,0.0
18,103449.695,31.3700008392334,89721.47204899989,0.8672956626693775,4,68274.29532010108,14535.500015258789,15102.800008773804,0.0,303.1000003814697,201.0,1793.6999772638083,3272.0999899581075,0.0,0.0
19,99761.7,29.469999313354492,87336.72069570892,0.8754533850156633,27,66683.69997406006,14537.500015258789,13923.60315528512,0.0,308.1000003814697,202.0,1032.799998626113,3279.9999813884497,0.0,0.0
20,96984.195,28.56999969482422,84873.96691941074,0.8751319392395019,4,64907.19535399228,14537.300003051758,12931.099962234497,0.0,303.80000019073486,202.0,1002.7999986261129,3334.999994404614,0.0,0.0
21,92075.9,27.010000228881836,80262.76515040724,0.8717022208030761,4,61754.79841995984,14493.300003051758,10897.900027275085,0.0,305.80000019073486,148.0,972.7999986261129,3514.299988396466,0.0,0.0
22,86017.0,25.139999389648438,74453.80600593255,0.8655708290911396,4,57173.7999721244,14236.900009155273,9435.400032997131,0.0,306.80000019073486,149.0,962.7999986261129,3764.2999869063497,0.0,0.0
23,80221.5,24.290000915527344,69310.17368826905,0.8639850125997276,4,53252.60001601279,13916.500015258789,8023.399984359741,0.0,306.0,149.0,941.7999986261129,3802.199985742569,0.0,0.0
