,Energy,Cost,Emissions,Avg Ems Rate,Steam Turbine,Combined Cycle,Gas Turbine,Internal Combustion,Other Fossil,Other Peaker,Hydro,Wind,DR,Solar
Actual,2137214.0,67884472.375,1850986.2124547171,0.8660743437272623,0.6877037581887889,0.14047357915063477,0.09972398650572394,3.1349223691020846e-05,0.004018642958376385,0.00122949784127019,0.017102685982907106,0.04967626079837805,4.02393020827963e-05,0.0
Baseline,2137214.0,59844928.33460909,1846275.8977918783,0.863870392853443,0.6588486655365252,0.15289343986288012,0.1299128723668849,2.7138134038051407e-05,0.003397320063455547,0.001330704365589969,0.013599106098982685,0.04166358634403308,0.0,0.0
1.5 GW Solar,2137213.9921875,59336310.24477507,1841461.7700686615,0.8616178711163464,0.6576497758273594,0.1527820804920403,0.12842223918582815,2.7138134137253768e-05,0.0033781362224324625,0.0013307043704543055,0.013326789009592263,0.04165726986166277,0.0,0.0029968922267087994
15 GW Solar,2137213.9921875,55374618.49152914,1793874.8084762045,0.8393519858253043,0.6427541263487042,0.1519888983456169,0.11845467734892762,2.7138134137253768e-05,0.0033160928328298377,0.0012782996976375394,0.012196298546094901,0.041652965192199215,0.0,0.02997079386254574
Carbon Price 5,2137214.0,68432632.51166062,1825978.1264746152,0.8543730887382429,0.6423383848428257,0.15698025568660975,0.1372577600431971,2.7138134038051407e-05,0.003425721523887488,0.00135035611782442,0.016924182570626185,0.04171196708603725,0.0,0.0
Carbon Price 10,2137214.0,77544164.40522042,1809428.5085108383,0.8466295413144581,0.6258235727949583,0.16011845334462735,0.1483099932504518,2.7138134038051407e-05,0.003508305673158455,0.0013536314098634952,0.019194006760726516,0.041738964849881016,0.0,0.0
Carbon Price 25,2137214.0,106656840.15927362,1764873.674426173,0.8257823851173411,0.5839965473313792,0.16320611793974976,0.1792523342380101,2.7138134038051407e-05,0.0036701986792150904,0.0014153940597431984,0.02666681949730788,0.041832778572861384,0.0,0.0
Carbon Price 50,2137214.0,156848107.71772817,1727540.5425199936,0.8083142551564765,0.5385556536391557,0.16600134573138994,0.22140141761413085,2.7138134038051407e-05,0.0038119720346207727,0.0016629125581247362,0.02666681949730788,0.04191171311091385,0.0,0.0
Baseline Error,0.0,-0.1184297934287496,-0.0025447594537142204,-0.0025447594537142374,-0.041958608352322534,0.08841421132245159,0.30272441885812684,-0.13432835512847466,-0.15461012619341175,0.08231533307551223,-0.2048555348221908,-0.16129785788157763,-1.0,
