,Energy,Cost,Emissions,Avg Ems Rate,Steam Turbine,Combined Cycle,Gas Turbine,Internal Combustion,Other Fossil,Other Peaker,Hydro,Wind,DR,Solar
Actual,1547898.1,33160199.125,1276934.327365051,0.8249472667104956,0.6615264810955974,0.14241240844526204,0.07476771124084478,0.0,0.0068737081811352015,0.0,0.018006288359630765,0.09590618246140713,0.0005072685213915773,0.0
Baseline,1547898.1,29430638.29361531,1279485.1123751116,0.8265951690942913,0.6371806363337346,0.15667452279732053,0.10187388985627019,0.0,0.006066290699848221,0.0,0.011609161937205889,0.08872696327373189,0.0,0.0
1.5 GW Solar,1547898.2109375,29229849.692496613,1273214.6180772628,0.8225441499193462,0.6336422566057832,0.1565407843752757,0.10131680523458077,0.0,0.00606629036305485,0.0,0.011609161292678784,0.08872527865045599,0.0,0.004190844045275486
15 GW Solar,1547898.2109375,27285074.047611177,1217297.365054342,0.7864195180618974,0.6025270904902429,0.1555407186157433,0.09591658476141482,0.0,0.005996518333320034,0.0,0.011609161292678784,0.08863677153866274,0.0,0.041904564228880704
Carbon Price 5,1547898.1,36613797.1476102,1255709.036391363,0.8112349360145151,0.6050254190569109,0.16614413824762672,0.1196635593103848,0.0,0.0061128053889205405,0.00011757879737724987,0.014298615388646742,0.0887773541887419,0.0,0.0
Carbon Price 10,1547898.1,43740483.76061414,1235810.3470743243,0.7983796395349495,0.5764796062806686,0.16724757003839782,0.14375416776417876,0.0,0.006136062733456699,0.0002965311428360313,0.017231301950637105,0.0888072657174719,0.0,0.0
Carbon Price 25,1547898.1,65060461.04122185,1181585.1184855932,0.763348116650502,0.507100112417648,0.1702697327534021,0.19649742620027635,0.0,0.0062095171847557215,0.0007267920167549787,0.030403422051308145,0.08885365119796558,0.0,0.0
Carbon Price 50,1547898.1,101650893.42517953,1140843.889169899,0.7370277608998971,0.4438903290674717,0.17262906114912582,0.25329606321617254,0.0,0.006849287965898919,0.0009193111465265197,0.03365945019765072,0.08888550084120471,0.0,0.0
Baseline Error,0.0,-0.11247100227974546,0.001997585118824445,0.001997585118824403,-0.036802524853641695,0.10014657084842649,0.3625385633125761,,-0.11746461444245285,,-0.3552717969777118,-0.07485668810312798,-1.0,
