,Energy,Cost,Emissions,Avg Ems Rate,Steam Turbine,Combined Cycle,Gas Turbine,Internal Combustion,Other Fossil,Other Peaker,Hydro,Wind,DR,Solar
Actual,1485101.9,44411188.5625,1235170.8004166312,0.8317077913706298,0.6834640209597023,0.09924524550624328,0.09709973591947849,0.0,0.003118977948903337,0.0006473629966263206,0.02158909134260889,0.09410613667126448,0.0007295795746523814,0.0
Baseline,1485101.9,38196909.2505618,1243790.1881937264,0.8375116947406227,0.6625860694155337,0.13943817833066113,0.09880157278616052,0.0,0.0023898697203316695,0.00017978564601839184,0.013509106907360333,0.08443656460007476,0.0,0.0
1.5 GW Solar,1485102.11328125,37776028.374955386,1238689.037428017,0.8340766781963584,0.6605566030431493,0.1391775678163792,0.09717520613974186,0.0,0.0023898693368825186,0.00015958498602925138,0.013509104739854911,0.08443453098930609,0.0,0.00411823533567469
15 GW Solar,1485102.11328125,34827196.44145108,1192099.5038796244,0.8027054121185966,0.6412083732800176,0.13252280656352225,0.08631952168689712,0.0,0.0023866372351290547,0.00011649030625763921,0.013509104739854911,0.08441715844703689,0.0,0.04118302671111833
Carbon Price 5,1485101.9,44427064.56806405,1230917.9074750098,0.8288440868576843,0.6460624188211064,0.14387215021786173,0.10729748973158769,0.0,0.0024095316722880723,0.00016362513851112066,0.01557751719651017,0.08446316210201381,0.0,0.0
Carbon Price 10,1485101.9,50341565.408856586,1205545.7882507856,0.8117596567244153,0.6217267134455267,0.148854165332342,0.11451975631128537,0.0,0.0024595619108832593,0.00014005773172968354,0.0276771584966664,0.08449191433912198,0.0,0.0
Carbon Price 25,1485101.9,70042845.9072337,1165717.5674117545,0.784941145813148,0.562679915885324,0.15889832478545768,0.15599448871534746,0.0,0.0030635608763988757,0.0003904130267545107,0.03455533984588229,0.08455184288843694,0.0,0.0
Carbon Price 50,1485101.9,104458063.79852594,1126193.6961682495,0.7583275700653529,0.4936907816004457,0.1610355519032943,0.2217402117814651,0.0,0.0032475886544820367,0.0009561633608468779,0.03455533984588229,0.0848918869005691,0.0,0.0
Baseline Error,0.0,-0.1399259851645903,0.006978296260070121,0.006978296260070215,-0.030547257652059477,0.4049859781130716,0.01752668893037264,,-0.2337651116860346,-0.7222800083487471,-0.3742623673698417,-0.10275176957872448,-1.0,
