,Demand,MCE,Total Ems,Avg Ems,Marginal Ems,Steam Turbine,Combined Cycle,Gas Turbine,Internal Combustion,Other Fossil,Other Peaker,Hydro,Wind,DR,Solar
00,62231.6,23.487307766293945,49395.568726002864,0.7937377069814644,52,36643.70002555847,10403.300003051758,7355.300029754639,0.0,133.0,0.0,1045.9000009447336,6446.400041088462,58.0,0.0
01,59764.4,22.960670535,47345.961854874215,0.7922101299887984,27,35347.400022506714,10157.099990844727,6640.39840696007,0.0,133.0,0.0,1045.9000009447336,6384.600016243756,58.0,0.0
02,58632.703,22.677308300351562,46433.47818670419,0.7919382138618428,52,34848.400022506714,9610.899978637695,6245.899990081787,0.0,133.0,0.0,1045.9000009447336,6369.1000424697995,58.0,0.0
03,58425.2,22.677308300351562,46407.59687403918,0.7943078927345089,52,34981.30002403259,9613.500015258789,6247.9999923706055,0.0,133.0,0.0,1045.9000009447336,6275.200032956898,58.0,0.0
04,59585.7,22.807307461118164,47544.79038792465,0.7979228407369867,52,35860.40003013611,10019.500015258789,6251.399990081787,0.0,133.0,0.0,1045.9000009447336,6197.300004042685,58.0,0.0
05,61087.203,23.0906696957666,48757.103969587304,0.7981557752745339,27,36273.40003013611,10347.500015258789,7161.403043374419,0.0,133.0,0.0,1045.9000009447336,6068.10003528744,58.0,0.0
06,65229.1,23.987307766293945,52832.63103602003,0.8099549092424314,52,39364.40003013611,11365.300003051758,7478.70002746582,0.0,145.0,0.0,1075.9000009447336,5730.3000400438905,58.0,0.0
07,69803.7,24.641016248881837,57358.280934588875,0.8217082814628809,4,42845.30309546739,12171.099990844727,8159.5,0.0,145.0,0.0,1086.900000564754,5338.000038124621,58.0,0.0
08,73745.195,25.417308071469726,61987.115942088574,0.8405580279422163,52,46406.30002403259,12918.399978637695,8773.600015640259,0.0,145.0,0.0,1110.8999998271465,4208.800000078976,58.0,0.0
09,76031.41,26.030670229824217,64390.01187375653,0.8468870306309313,27,48277.70001792908,13272.199966430664,9290.806250087917,0.0,145.0,0.0,1110.8999998271465,3877.8000157251954,58.0,0.0
10,77165.805,26.217307308530273,65715.30335348811,0.851611716091302,52,49121.59999656677,13489.099990844727,9712.399991989136,0.0,145.0,0.0,1145.8999998271465,3431.0000184327364,58.0,0.0
11,76586.5,26.217307308530273,65568.6862958799,0.85613895785654,52,49149.59999656677,13283.70002746582,9696.600023269653,0.0,145.0,0.0,1145.8999998271465,3084.1000106334686,58.0,0.0
12,75390.7,26.07067114535156,64871.04524924296,0.860464786244066,27,48678.300008773804,13281.70002746582,9389.90308291465,0.0,145.0,0.0,1115.8999998271465,2726.900006018579,58.0,0.0
13,74609.9,25.941015485942383,64374.52310480529,0.8628147799816563,4,48481.69842906296,13193.099990844727,9022.400011062622,0.0,145.0,0.0,1115.8999998271465,2604.8000067025423,58.0,0.0
14,73719.1,25.691015485942383,63503.95901546912,0.8614315376813111,4,47650.101556010544,13327.099990844727,8857.200002670288,0.0,145.0,0.0,1115.8999998271465,2570.3000131472945,58.0,0.0
15,73521.0,25.691015485942383,63415.75300810677,0.8625529169639528,4,47707.09995371848,13108.70002746582,8854.400011062622,0.0,145.0,0.0,1115.8999998271465,2542.9000079259276,58.0,0.0
16,74959.5,26.030670229824217,64698.911236385466,0.8631182336646518,27,48693.300008773804,13232.500015258789,9148.699970573187,0.0,145.0,0.0,1115.8999998271465,2577.100005567074,58.0,0.0
17,82718.305,27.601015333354493,71516.5213466943,0.8645791474677254,4,53636.8046926111,14531.099990844727,10523.799997329712,0.0,145.0,0.0,1115.8999998271465,2707.800006888807,58.0,0.0
18,85523.5,28.141016248881837,74185.32858957832,0.8674262464653378,4,56069.89998591691,14615.099990844727,10704.800020217896,0.0,145.0,0.0,1145.8999998271465,2789.300003193319,58.0,0.0
19,86444.305,28.211015943706055,74566.25476308621,0.8625930306530492,4,56380.6046378687,14689.70002746582,10724.399990081787,0.0,145.0,0.0,1110.8999998271465,3340.2000322565436,58.0,0.0
20,85179.305,27.95101571482422,73178.48010059707,0.8591110290119092,4,55150.40464375913,14623.70002746582,10597.39999961853,0.0,145.0,0.0,1110.8999998271465,3498.4000168293715,58.0,0.0
21,83796.5,27.601015333354493,71730.78356348295,0.8560116897899429,4,53825.49992696941,14567.70002746582,10518.10001373291,0.0,145.0,0.0,1110.8999998271465,3575.800032004714,58.0,0.0
22,79207.7,26.86101556223633,67286.97216049358,0.8495003579930355,4,49990.9030675441,14216.70002746582,10088.500001907349,0.0,145.0,0.0,1110.8999998271465,3597.800028257072,58.0,0.0
23,75802.0,26.141016248881837,64306.877190613166,0.8483533045383125,4,47840.5999321416,13837.500015258789,9275.800016403198,0.0,145.0,0.0,1075.9000009447336,3569.4000352546573,58.0,0.0
