,Energy,Cost,Emissions,Avg Ems Rate,Steam Turbine,Combined Cycle,Gas Turbine,Internal Combustion,Other Fossil,Other Peaker,Hydro,Wind,DR,Solar
Actual,2023614.8,48104032.375,1778994.3957611022,0.8791171322313707,0.7161255865236923,0.13372915981573447,0.08289107407029353,0.0,0.002346494068431334,0.001334740221675099,0.014717870589990436,0.048078271847296704,0.0007768277048722537,0.0
Baseline,2023614.8,46012287.1155618,1758763.8603901847,0.8691199055502954,0.6719799284232413,0.15282864488821823,0.11869434001553644,0.0,0.001790854706905057,0.001245296319371066,0.012243931307624108,0.0419984586803261,0.000676018001944293,0.0
1.5 GW Solar,2023614.8125,45826261.023821965,1754149.6712794346,0.8668397070647725,0.6700845370781381,0.15250501138759284,0.11850516760583699,0.0,0.0017908546515939283,0.0012452962809096852,0.012243930929466318,0.04199845738319009,0.0006760179810652577,0.0024065844793770504
15 GW Solar,2023614.8125,44077883.55369367,1713872.9827107615,0.8469363695719446,0.6545669137885821,0.15070002362360554,0.11413862287047884,0.0,0.00177306470472379,0.0012452962809096852,0.012243930929466318,0.04199697488761757,0.0006760179810652577,0.024067327289343014
Carbon Price 5,2023614.8,55011890.382633984,1726989.4906537624,0.8534181175808104,0.6433265619431243,0.1588790553829304,0.1336612120188516,0.0,0.001814574636797839,0.001245296319371066,0.018215176556678075,0.04201743462405182,0.000676018001944293,0.0
Carbon Price 10,2023614.8,64206992.58771469,1700454.4636557298,0.8403054304954685,0.6181593634801228,0.1647160359583057,0.14737617817165213,0.0,0.0018153653013161077,0.001245296319371066,0.02390104141806041,0.042028701590904056,0.000676018001944293,0.0
Carbon Price 25,2023614.8,93109513.14096302,1663211.1205762057,0.8219010661867362,0.5696018466175166,0.17183596824778916,0.1889914143519859,0.0,0.0019719662582394796,0.001245296319371066,0.02390104141806041,0.04206606048120388,0.000676018001944293,0.0
Carbon Price 50,2023614.8,141813904.67772946,1617856.9603701625,0.7994886182610413,0.5138507766073818,0.17454251108159682,0.2391110780646709,0.0,0.0023245531294926567,0.002054094957327371,0.025519926633242797,0.042111474263691565,0.000676018001944293,0.0
Baseline Error,0.0,-0.04348378204828617,-0.011371893817721867,-0.01137189381772184,-0.061645134500428155,0.14282214214761363,0.4319314998244675,,-0.23679555341801067,-0.06701221769714924,-0.16809084352520698,-0.12645656620689144,-0.12977099335629178,
