,Demand,MCE,Total Ems,Avg Ems,Marginal Ems,Steam Turbine,Combined Cycle,Gas Turbine,Internal Combustion,Other Fossil,Other Peaker,Hydro,Wind,DR,Solar
00,77794.09,26.427308300351562,66952.53411722819,0.8606377539712414,52,50688.499980926514,12723.199996948242,9916.500020980835,0.0,177.0,0.0,1003.2000002339482,3177.1000096425414,57.0,0.0
01,76560.61,26.071016554057618,65768.84241256287,0.8590428282829072,4,49798.50933302194,12318.099990844727,9967.400030136108,0.0,177.0,0.0,1002.4000000432134,3240.300020955503,57.0,0.0
02,75058.91,25.66101670664551,64208.357780426515,0.8554395605841447,4,48302.50619650632,12409.300003051758,9833.800024032593,0.0,177.0,0.0,1002.4000000432134,3277.0000263676047,57.0,0.0
03,75177.2,25.61101556223633,64303.16828829848,0.8553546236799892,4,48429.10313696414,12413.300003051758,9774.999963760376,0.0,177.0,0.0,1002.4000000432134,3323.5000211820006,57.0,0.0
04,76442.805,25.781015638530274,65667.26549253933,0.8590378880129879,4,49678.00468940288,12426.300003051758,9889.999975204468,0.0,177.0,0.0,1002.4000000432134,3212.200019799173,57.0,0.0
05,81254.695,26.781015638530274,69944.20564350276,0.8608020173419164,4,52705.695268020034,13655.199996948242,10442.200044631958,0.0,177.0,0.0,1002.4000000432134,3221.4000026658177,57.0,0.0
06,90169.9,28.271015409648438,77288.53160106849,0.8571433808882457,4,58405.49839755893,13904.199996948242,12539.400033950806,0.0,145.0,0.0,1928.8999847844243,3190.0000242590904,57.0,0.0
07,95230.6,29.2510168592334,81940.18483940746,0.860439643297118,4,62056.601573206484,14169.199996948242,13453.10000038147,0.0,145.0,181.0,2031.6999874562025,3144.800004698336,57.0,0.0
08,94475.305,29.171016935527344,81143.69352969468,0.858887873377039,4,61318.304656513035,14163.199996948242,13398.800004959106,0.0,145.0,181.0,2034.0000117048621,3185.800017565489,57.0,0.0
09,91902.1,28.610000610351562,78818.47037873568,0.857635125189531,42,59348.90000915527,13782.199996948242,13318.69999885559,0.0,145.0,181.0,1719.5000117048621,3337.300012513995,57.0,0.0
10,90526.6,28.051016096293946,77609.6992883702,0.8573137392635699,4,58518.20152062923,13593.199996948242,12959.100023269653,0.0,145.0,181.0,1716.9000056013465,3356.300016053021,57.0,0.0
11,87324.09,27.511015180766602,74648.04848016573,0.8548390859214124,4,56440.3937478289,13541.199996948242,11721.200017929077,0.0,145.0,181.0,1921.4999888166785,3316.8999984785914,57.0,0.0
12,85340.5,27.391016248881837,72704.84558252293,0.851938359659516,4,54644.69999399781,13472.199996948242,11638.499998092651,0.0,145.0,179.0,1891.4999888166785,3320.4000223353505,57.0,0.0
13,83623.0,27.0,71283.10538982382,0.8524342033869129,42,53489.69998931885,13458.199996948242,11284.700031280518,0.0,145.0,179.0,1493.4999888166785,3359.500006698072,57.0,0.0
14,82036.9,26.551016096293946,69948.21944061072,0.852643393069046,4,52489.898458480835,13716.199996948242,10537.099979400635,0.0,145.0,179.0,1491.4999888166785,3424.4000139012933,57.0,0.0
15,81234.3,26.427308300351562,69180.01103530006,0.8516108798448939,52,51894.499980926514,13549.199996948242,10302.199968338013,0.0,145.0,179.0,1491.4999888166785,3461.7000153809786,57.0,0.0
16,81403.2,26.47101617258789,69337.83794144382,0.8517826729124036,4,52189.70311842859,13338.199996948242,10454.399991989136,0.0,145.0,181.0,1491.4999888166785,3549.6000288650393,57.0,0.0
17,87167.1,27.481016401469727,74108.29989566134,0.8501865791938107,4,55972.2015093416,13513.199996948242,11657.80004310608,0.0,145.0,181.0,1882.1999933943152,3761.9000197574496,57.0,0.0
18,90809.8,28.031015638530274,77146.25547908073,0.8495367034602315,4,58217.0968599543,13666.199996948242,12645.599981307983,0.0,145.0,179.0,1902.5000117048621,3997.500025086105,57.0,0.0
19,90187.4,27.7510168592334,76388.94225704267,0.8470023925790511,4,57539.89840193838,13632.199996948242,12583.60000038147,0.0,145.0,179.0,1923.0000040754676,4127.800034157932,57.0,0.0
20,88969.5,27.670669619472655,75357.66270615566,0.8470055772613723,27,57028.19999694824,13633.199996948242,11794.299970656633,0.0,145.0,179.0,1913.7000086531043,4219.200026795268,57.0,0.0
21,85896.1,27.321016554057618,72322.14318085572,0.8419723580613545,4,54436.00152442604,13781.199996948242,11276.000017166138,0.0,145.0,0.0,1912.1000025495887,4289.800021409988,57.0,0.0
22,80167.305,26.11101556223633,67879.34963955144,0.8467211153493532,4,51045.70464789122,13597.099990844727,9965.500011444092,0.0,145.0,0.0,1067.3999989256263,4289.700038395822,57.0,0.0
23,74862.8,25.101015333354493,63039.81625371288,0.8420713476544538,4,47207.29682350904,13054.300003051758,9123.90001296997,0.0,145.0,0.0,1032.4000000432134,4243.000035427511,57.0,0.0
